Company Name,Industry,Symbol,Series,ISIN Code
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022
CESC Ltd.,Power,CESC,EQ,INE486A01021
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,INE03QK01018
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024
DLF Ltd.,Realty,DLF,EQ,INE271C01023
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Dummy Aditya Birla Fashion and Retail Ltd.,Consumer Services,DUMMYABFRL,BE,DUM647O01011
Dummy Siemens Ltd.,Capital Goods,DUMMYSIEMS,EQ,DUM003A01024
Dummy2 Raymond Ltd.,Realty,DUMMYRAYMN,BE,DUM2301A0101
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013
Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01024
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027
INOX India Ltd.,Capital Goods,INOXINDIA,EQ,INE616N01034
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
International Gemmological Institute (India) Ltd.,Services,IGIL,EQ,INE0Q9301021
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01051
JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE,EQ,INE573A01042
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,INE531A01024
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
Kec International Ltd.,Construction,KEC,EQ,INE389H01022
Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS,EQ,INE732A01036
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MMTC Ltd.,Services,MMTC,BE,INE123F01029
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES,EQ,INE271B01025
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Nava Ltd.,Power,NAVA,EQ,INE725A01030
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PCBL Chemical Ltd.,Chemicals,PCBL,EQ,INE602A01031
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029
PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019
Raymond Ltd.,Realty,RAYMOND,EQ,INE301A01014
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
Reliance Power Ltd.,Power,RPOWER,BE,INE614G01033
SJVN Ltd.,Power,SJVN,EQ,INE002L01015
SKF India Ltd.,Capital Goods,SKFINDIA,EQ,INE640A01023
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
Sagility India Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,BE,INE839M01018
Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
Swan Energy Ltd.,Chemicals,SWANENERGY,EQ,INE665A01038
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026
